Country_Name,CountryCode,BirthRate,Users
Aruba,ABW,11.323,57.06835805
Angola,AGO,40.838,14.776
Albania,ALB,12.748,49
United Arab Emirates,ARE,12.755,70
Argentina,ARG,17.006,47.704
Burundi,BDI,33.722,1.11
Benin,BEN,39.073,3.5
Burkina Faso,BFA,42.914,3
Bangladesh,BGD,19.966,5
Bahrain,BHR,18.943,77
"Bahamas, The",BHS,15.366,65
Bosnia and Herzegovina,BIH,8.405,60
Bolivia,BOL,26.146,30
Brazil,BRA,15.215,45
Barbados,BRB,10.859,71.7657
Brunei Darussalam,BRN,18.796,56
Bhutan,BTN,20.06,21
Botswana,BWA,23.288,7
Central African Republic,CAF,34.727,2.2
Chile,CHL,14.21,53.8938
Cote d'Ivoire,CIV,33.553,2.2
Cameroon,CMR,35.703,5
"Congo, Dem. Rep.",COD,42.904,1.2
"Congo, Rep.",COG,35.035,5.6
Colombia,COL,19.404,40.4
Cape Verde,CPV,20.31,32
Costa Rica,CRI,15.505,42.12
Cuba,CUB,9.739,23.23
Cyprus,CYP,11.581,57.68
Djibouti,DJI,28.703,7
Dominican Republic,DOM,21.437,35.5
Algeria,DZA,19.811,14
Ecuador,ECU,20.309,31.4
"Egypt, Arab Rep.",EGY,22.835,35.62
Eritrea,ERI,35.514,6.2
Ethiopia,ETH,30.777,1.1
Fiji,FJI,21.19,28
Gabon,GAB,27.051,8
Ghana,GHA,31.069,14.11
Guinea,GIN,38.376,1.3
"Gambia, The",GMB,37.591,10.8703
Guinea-Bissau,GNB,37.948,2.672
Guatemala,GTM,31.975,11.7274
Guyana,GUY,17.806,32
Honduras,HND,26.327,15.9
Indonesia,IDN,17.866,18
India,IND,21.82,10.07
Kenya,KEN,37.357,28
Cambodia,KHM,22.129,3.1
Lao PDR,LAO,22.321,9
Lebanon,LBN,15.16,52
Liberia,LBR,38.512,3
Libya,LBY,22.575,16.9981
St. Lucia,LCA,12.8,42.0105
Lesotho,LSO,27.515,4.2248
"Macao SAR, China",MAC,9.895,58
Morocco,MAR,19.21,51
Moldova,MDA,12.266,37.84906772
Madagascar,MDG,34.958,1.9
Maldives,MDV,16.634,34
"Macedonia, FYR",MKD,10.643,56.7
Mali,MLI,45.867,2
Myanmar,MMR,17.033,0.98
Montenegro,MNE,12.154,40
Mongolia,MNG,23.333,20
Mozambique,MOZ,37.105,4.3
Mauritania,MRT,33.324,4.5
Mauritius,MUS,11.5,35.50825383
Malawi,MWI,44.407,3.33
Malaysia,MYS,20.036,61
Namibia,NAM,25.839,12
Niger,NER,48.19,1.3
Nigeria,NGA,39.663,28.43
Nicaragua,NIC,23.444,10.6
Nepal,NPL,23.65,9
New Zealand,NZL,14.27,86.18173386
Oman,OMN,17.507,68
Panama,PAN,19.55,42.7
Peru,PER,20.057,36.5
Philippines,PHL,24.807,29
Papua New Guinea,PNG,29.715,2
Paraguay,PRY,23.972,23.9
French Polynesia,PYF,16.708,49
Qatar,QAT,12.193,86.2
Rwanda,RWA,40.925,7
Senegal,SEN,36.837,17.5
Solomon Islands,SLB,31.326,6
El Salvador,SLV,20.16,17.68859598
Sao Tome and Principe,STP,30.669,20.1612
Suriname,SUR,18.127,32
Swaziland,SWZ,29.087,20.43165813
Chad,TCD,44.213,1.9
Togo,TGO,31.593,3.5
Thailand,THA,11.859,23.7
Tajikistan,TJK,27.773,13.03
Turkmenistan,TKM,21.425,5
Timor-Leste,TLS,38.149,0.883126339
Tonga,TON,26.617,25
Trinidad and Tobago,TTO,14.591,55.2
Turkey,TUR,17.511,42.1
Tanzania,TZA,41.242,12
Uganda,UGA,44.684,13.01354333
St. Vincent and the Grenadines,VCT,16.797,43.01
"Yemen, Rep.",YEM,37.767,14.905
Zambia,ZMB,45.927,11.5
Zimbabwe,ZWE,29.003,15.7
