,,training_time,training_time,training_time,roc auc,roc auc,roc auc,balanced accuracy,balanced accuracy,balanced accuracy,accuracy,accuracy,accuracy
,,mean,min,max,mean,min,max,mean,min,max,mean,min,max
dataset,model,,,,,,,,,,,,
n_1000.csv,"(1,)",0.035999083518981935,0.02149653434753418,0.07399606704711914,0.5492480962042787,0.4904761904761905,0.6377338877338877,0.5492480962042787,0.4904761904761905,0.6377338877338877,0.5089999999999999,0.29,0.7
n_1000.csv,"(1, 3)",0.030699849128723145,0.025498628616333008,0.05500173568725586,0.5,0.5,0.5,0.5,0.5,0.5,0.5890000000000001,0.3,0.81
n_1000.csv,"(4,)",0.048749446868896484,0.02250075340270996,0.08899593353271484,0.5657452212426978,0.5,0.7379385964912281,0.5657452212426978,0.5,0.7379385964912281,0.593,0.29,0.72
n_1000.csv,"(4, 3)",0.04155099391937256,0.02650594711303711,0.10149788856506348,0.5452703897244268,0.48161764705882354,0.6577840112201964,0.5452703897244268,0.48161764705882354,0.6577840112201964,0.5050000000000001,0.26,0.7
n_1000.csv,"(12,)",0.051150965690612796,0.02400064468383789,0.10100364685058594,0.5533989655511664,0.42857142857142855,0.7875,0.5533989655511663,0.42857142857142855,0.7875000000000001,0.6279999999999999,0.29,0.79
n_1000.csv,"(12, 3)",0.06055023670196533,0.02900075912475586,0.09050107002258301,0.5205556339012909,0.4782608695652174,0.5803571428571428,0.5205556339012909,0.4782608695652174,0.5803571428571428,0.6289999999999999,0.29,0.72
n_10000.csv,"(1,)",0.21100029945373536,0.14749526977539062,0.2850058078765869,0.5034706712873829,0.5,0.5347067128738288,0.5034706712873829,0.5,0.5347067128738288,0.7145,0.653,0.733
n_10000.csv,"(1, 3)",0.2195499897003174,0.18099570274353027,0.2595021724700928,0.5,0.5,0.5,0.5,0.5,0.5,0.7227,0.705,0.744
n_10000.csv,"(4,)",0.4397501230239868,0.15700221061706543,1.234994649887085,0.5388917148354286,0.5,0.611878453038674,0.5388917148354286,0.5,0.611878453038674,0.7394000000000001,0.708,0.776
n_10000.csv,"(4, 3)",0.4857091665267944,0.19500017166137695,1.062103509902954,0.5533473262660029,0.5,0.6246395679392185,0.5533473262660029,0.5,0.6246395679392186,0.7442000000000001,0.709,0.793
n_10000.csv,"(12,)",0.8616496324539185,0.20299720764160156,2.3845014572143555,0.6019711680732749,0.5,0.7580034305652613,0.6019711680732749,0.5,0.7580034305652614,0.7718,0.721,0.836
n_10000.csv,"(12, 3)",0.7677509784698486,0.27899718284606934,1.5804996490478516,0.617474593016103,0.5,0.676950998185118,0.6174745930161029,0.5,0.676950998185118,0.7816000000000001,0.73,0.814
n_250.csv,"(1,)",0.011152291297912597,0.010500907897949219,0.014003276824951172,0.4809523809523809,0.35714285714285715,0.5079365079365079,0.4809523809523809,0.35714285714285715,0.5079365079365079,0.5439999999999999,0.2,0.84
n_250.csv,"(1, 3)",0.013201141357421875,0.012499094009399414,0.016498088836669922,0.480054347826087,0.41304347826086957,0.5,0.480054347826087,0.41304347826086957,0.5,0.44400000000000006,0.2,0.76
n_250.csv,"(4,)",0.014709973335266113,0.010995864868164062,0.02549910545349121,0.4682727764151912,0.275,0.7324561403508772,0.4682727764151913,0.275,0.7324561403508771,0.512,0.2,0.76
n_250.csv,"(4, 3)",0.015098309516906739,0.012998342514038086,0.023500442504882812,0.49556719617671624,0.39338235294117646,0.6491228070175439,0.49556719617671624,0.39338235294117646,0.6491228070175439,0.5240000000000001,0.24,0.84
n_250.csv,"(12,)",0.015598464012145995,0.010996818542480469,0.030998706817626953,0.46665947958130616,0.2619047619047619,0.7105263157894737,0.46665947958130616,0.2619047619047619,0.7105263157894737,0.516,0.28,0.76
n_250.csv,"(12, 3)",0.023999691009521484,0.01299595832824707,0.0455021858215332,0.5455864592213697,0.34375,0.7857142857142857,0.5455864592213697,0.34375,0.7857142857142857,0.5,0.24,0.88
